Chemicals	RxnID	Description	Reaction	Gene	Protein	Enzyme	Kcat (1/s)	MW (KDa)	s.a.(µmol/min/mg)	Similar species	_ (h-1)	product yield in vivo	in silico	Medium	OE	deletion	Ref
	8	draw_prot_Q53005	58.93 prot_pool  -> prot_Q53005														
	9	draw_prot_A4ZYX5	43.039 prot_pool  -> prot_A4ZYX5														
	10	draw_prot_A0A161I263	57.849 prot_pool  -> prot_A0A161I263														
	r_0355No1	dimethylallyltranstransferase (No1)	s_0943 + s_1376 + 0.000505051 prot_P08524  -> s_0633 + s_0745 			2.5.1.1	0.55 (Kcat*2)	40.4829							ERG20: downregulation		
	r_0462No1	geranyltranstransferase (No1)	s_0745 + s_0943 + 0.000505051 prot_P08524  -> s_0190 + s_0633 			2.5.1.1	0.55 (Kcat*2)	40.4829							ERG20: downregulation		
																	
tyrosine	1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360 + 0.0033548 prot_P32449ly  -> s_0349 + s_1322 	ARO4K229L (S. cerevisiae)	P32449ly	2.5.1.54	0.082809792	39.7487	0.125		0.089	0.01733 mmol/gDCW/h	0.6225 mmol/gDCW/h	YEP		"ARO3, ARO4, ARO10, Zwf1"	Metabolic engineering of a tyrosine-overproducing yeast platform using targeted metabolomics
	2	tyrosine ammonia-lyase	s_1051 + 0.000308642 prot_Q3IWB0 -> s_0419 + s_4215	TAL (Rhodobacter sphaeroides)	Q3IWB0	4.3.1.23	0.9	54.914									
	3	cyclohexadienyl dehydrogenase	s_1377 + s_1198 + prot_Q04983 -> s_0204 + s_0456 + s_1203	TyrC (Zymomonas mobilis)	Q04983	1.3.1.12	NA	32.051									
	4	draw_prot_P32449ly	39.7487 prot_pool  -> prot_P32449ly														
	5	draw_prot_Q3IWB0	54.914 prot_pool  -> prot_Q3IWB0														
	6	draw_prot_Q04983	32.051 prot_pool  -> prot_Q04983														
																	
triacylglycerol	1	triacylglycerols transport	s_1524 -> s_4310								0.1	0.0055 mmol/gDCW/h _MW=639_	0.00012 mmol/gDCW/h	Min		"TGL3, 4, 5, PXA1"	"Metabolic engineering of Saccharomyces cerevisiae for overproduction of
triacylglycerols"
	2	triacylglycerols exchange	s_4310 -> 														
	r_0109No1	"acetyl-CoA carboxylase, reaction (No1)"	s_0373 + s_0434 + s_0445 + 6.17284e-10 prot_P48445 + 4.2511e-06 prot_Q00955  -> s_0394 + s_0794 + s_1101 + s_1322 				65.3426 (Kcat*2)								ACC1		
	r_2344No1	"PA phosphatase (1-16:0, 2-16:1), ER membrane (No1)"	s_2808 + s_2954 + 2.40015e-05 prot_P32567  -> s_2966 + s_2967 				23.1467 (Kcat*2)								PAH1		
	r_2345No1	"PA phosphatase (1-16:0, 2-18:1), ER membrane (No1)"	s_2808 + s_2955 + 2.40015e-05 prot_P32567  -> s_2966 + s_2968 				23.1467 (Kcat*2)								PAH1		
	r_2346No1	"PA phosphatase (1-16:1, 2-16:1), ER membrane (No1)"	s_2808 + s_2956 + 2.40015e-05 prot_P32567  -> s_2966 + s_2969 				23.1467 (Kcat*2)								PAH1		
	r_2347No1	"PA phosphatase (1-16:1, 2-18:1), ER membrane (No1)"	s_2808 + s_2957 + 2.40015e-05 prot_P32567  -> s_2966 + s_2970 				23.1467 (Kcat*2)								PAH1		
	r_2348No1	"PA phosphatase (1-18:0, 2-16:1), ER membrane (No1)"	s_2808 + s_2958 + 2.40015e-05 prot_P32567  -> s_2966 + s_2971 				23.1467 (Kcat*2)								PAH1		
	r_2349No1	"PA phosphatase (1-18:0, 2-18:1), ER membrane (No1)"	s_2808 + s_2959 + 2.40015e-05 prot_P32567  -> s_2966 + s_2972 				23.1467 (Kcat*2)								PAH1		
	r_2350No1	"PA phosphatase (1-18:1, 2-16:1), ER membrane (No1)"	s_2808 + s_2960 + 2.40015e-05 prot_P32567  -> s_2966 + s_2973 				23.1467 (Kcat*2)								PAH1		
	r_2351No1	"PA phosphatase (1-18:1, 2-18:1), ER membrane (No1)"	s_2808 + s_2961 + 2.40015e-05 prot_P32567  -> s_2966 + s_2974 				23.1467 (Kcat*2)								PAH1		
																	
"very-long-chain polyunsaturated
fatty acids (VLC-PUFAs)"	1	Delta9-desaturase	s_2783 + s_2791 + s_2817 + s_2818 + prot_D5KSD1  -> 2 s_2808 + s_2820 + s_2821 	D9D (Mortierella alpina)	D5KSD1	1.14.19.1	NA	50.809			0.1		ARA: 0.00011 g/g; EPA: 0.000089 g/g; DHA: 0.000097 g/g	Min			"Metabolic Engineering of Saccharomyces cerevisiae for Production of
Eicosapentaenoic Acid, Using a Novel  5-Desaturase from
Paramecium tetraurelia "
	2	Delta12-desaturase	s_2783 + s_2821 + s_2817 + s_2818 + prot_Q9Y8H5  -> 2 s_2808 + s_2820 + s_4311 	D12D (Mortierella alpina)	Q9Y8H5	1.14.19.6	NA	46.001									
	3	Omega-3 desaturase	s_4311 + s_2821 + s_2817 + s_2818 + prot_D5KSD6  -> 2 s_2808 + s_2820 + s_4312 	FAD3 (Saccharomyces kluyveri)	D5KSD6	1.14.19.-	NA	47.718									
	4	Delta6-desaturase 	s_4311 + s_2821 + s_2817 + s_2818 + prot_A0A1Y5I9G7  -> 2 s_2808 + s_2820 + s_4313 	D6D (Ostreococcus tauri)	A0A1Y5I9G7	1.14.19.3	NA	51.674									
	5	Delta6-desaturase 	s_4312 + s_2821 + s_2817 + s_2818 + prot_A0A1Y5I9G7  -> 2 s_2808 + s_2820 + s_4314	D6D (Ostreococcus tauri)	A0A1Y5I9G7	1.14.19.3	NA	51.674									
	6	Delta6-elongase	s_4313 + 2 s_2799 + s_2782 + 3 s_2783 + prot_D5KSD4 -> s_2785 + s_2784 + s_2808 + s_2800 + s_4315	D6E (Mortierella alpina)	D5KSD4	2.3.1.199	NA	36.746									
	7	Delta6-elongase	s_4314 + 2 s_2799 + s_2782 + 3 s_2783 + prot_D5KSD4 -> s_2785 + s_2784 + s_2808 + s_2800 + s_4316	D6E (Mortierella alpina)	D5KSD4	2.3.1.199	NA	36.746									
	8	Delta-5 desaturase	s_4315 + s_2821 + s_2817 + s_2818 + prot_HQ678517  -> 2 s_2808 + s_2820 + s_4317	D5D (Paramecium tetraurelia)	HQ678517	1.14.19.44	NA	59.89									
	9	Delta-5 desaturase	s_4316 + s_2821 + s_2817 + s_2818 + prot_HQ678517  -> 2 s_2808 + s_2820 + s_4318	D5D (Paramecium tetraurelia)	HQ678517	1.14.19.44	NA	59.89									
For ARA	10	ARA-CoA transport	s_4317 -> s_4319			3.1.2.2											
	11	peroxisomal acyl-CoA thioesterase	s_4319 + s_0809 + prot_P41903 -> s_0801 + s_0534 + s_4320														
	12	ARA transport	s_4320 -> s_4321														
	13	ARA exchange	s_4321 ->														
For EPA	14	EPA-CoA transport	s_4318 -> s_4322														
	15	peroxisomal acyl-CoA thioesterase	s_4322 + s_0809 + prot_P41903 -> s_0801 + s_0534 + s_4323			3.1.2.2											
	16	EPA transport	s_4323 -> s_4324														
	17	EPA exchange	s_4324 ->														
	18	draw_prot_D5KSD1	50.809 prot_pool  -> prot_D5KSD1														
	19	draw_prot_Q9Y8H5	46.001 prot_pool  -> prot_Q9Y8H5														
	20	draw_prot_D5KSD6	47.718 prot_pool  -> prot_D5KSD6														
	21	draw_prot_A0A1Y5I9G7	51.674 prot_pool  -> prot_A0A1Y5I9G7														
	22	draw_prot_D5KSD4	36.746 prot_pool  -> prot_D5KSD4														
	23	draw_prot_HQ678517	59.89 prot_pool  -> prot_HQ678517														
For DHA	24	Delta5-elongase	s_4318 + 2 s_2799 + s_2782 + 3 s_2783 -> s_2785 + s_2784 + s_2808 + s_2800 + s_4325														
	25	Delta-4 desaturase	s_4325 + s_2821 + s_2817 + s_2818 -> 2 s_2808 + s_2820 + s_4326														
	26	EPA-CoA transport	s_4326 -> s_4327														
	27	peroxisomal acyl-CoA thioesterase	s_4327 + s_0809 + prot_P41903 -> s_0801 + s_0534 + s_4328			3.1.2.2											
	28	EPA transport	s_4328 -> s_4329														
	29	EPA exchange	s_4329 ->														
																	
n-butanol	1	Citramalate synthase	s_1401 + s_0376 + 1.49343e-05 prot_A0FDH8 -> s_4333	cimA (Leptospira interrogans)	A0FDH8	2.3.1.182	18.6 (Kcat*2)	47.186			0.1	0.0525 g/g	0.1734 g/g	YEP	cimA	ADH1	Metabolic engineering of a synergistic pathway for n-butanol production in Saccharomyces cerevisiae
	2	citraconate hydratase	s_4333 + s_0807 + 1.49826e-05 prot_P07264ly -> s_4334	LEU1m (Saccharomyces cerevisiae)	P07264ly	4.2.1.35	18.54 (Kcat*2)	85.794							LEU1m		
	3	2-methylmaleate hydratase	s_4334 + s_0807 + 1.49826e-05 prot_P07264ly -> s_4335	LEU1m (Saccharomyces cerevisiae)	P07264ly	4.2.1.35	18.54 (Kcat*2)	85.794							LEU1m		
	4	3-isopropylmalate dehydrogenase	s_4335 + s_1200 + 1.53468e-05 prot_P04173ly -> s_0179 + s_1205 + s_0799 + s_0460	LEU2m (Saccharomyces cerevisiae)	P04173ly	1.1.1.85	18.1 (Kcat*2)	38.953							LEU2m		
	5	2-ethylmalate synthase	s_0179 + s_0807 + s_0376 + 1.00717e-05 prot_P06208ly -> s_0532 + s_4336	LEU4m (Saccharomyces cerevisiae)	P06208ly	2.3.3.6	27.58 (Kcat*2)	68.409							LEU4m		
	6	NA	s_4336 + 1.49826e-05 prot_P07264ly -> s_4337	LEU1m (Saccharomyces cerevisiae)	P07264ly	4.2.1.35	18.54 (Kcat*2)	85.794							LEU1m		
	7	NA	s_4337 + s_1200 + 1.53468e-05 prot_P04173ly -> s_1205 + s_0799 + s_4338	LEU2m (Saccharomyces cerevisiae)	P04173ly	1.1.1.85	18.1(Kcat*2)	38.953							LEU2m		
	8	NA	s_4338 + s_0799 + 1.53468e-05 prot_P04173ly -> s_0460 + s_4339	LEU2m (Saccharomyces cerevisiae)	P04173ly	1.1.1.85	18.1 (Kcat*2)	38.953							LEU2m		
	9	2-ethylmalate transport	s_4336 -> s_4340														
	10	alpha-ketovalerate transport	s_4339 -> s_4341														
	11	NA	s_4340 + 1.49826e-05 prot_P07264 -> s_4342	LEU1 (Saccharomyces cerevisiae)	P07264	4.2.1.35	18.54 (Kcat*2)	85.794							LEU1		
	12	NA	s_4342 + s_1198 + 1.53468e-05 prot_P04173 -> s_1203 + s_0794 + s_4343	LEU2 (Saccharomyces cerevisiae)	P04173	1.1.1.85	18.1(Kcat*2)	38.953							LEU2		
	13	NA	s_4343 + s_0794 + 1.53468e-05 prot_P04173 -> s_0456 + s_4341	LEU2 (Saccharomyces cerevisiae)	P04173	1.1.1.85	18.1 (Kcat*2)	38.953							LEU2		
	14	keto-acid decarboxylase	s_4341 + 2.67094e-05 prot_Q06408 -> s_4344 + s_0456	ARO10 (Saccharomyces cerevisiae)	Q06408	4.1.1.43	10.4 (Kcat*2)	71.384							ARO10		
	15	alcohol dehydrogenase	s_4344 + s_1203 + s_0794 + 3.34044e-05 prot_P25377 -> s_1198 + s_4345	ADH7 (Saccharomyces cerevisiae)	P25377	1.1.1.2	8.3156 (Kcat*2)	39.348	6.34						ADH7		
	16	n-butanol transport	s_4345 -> s_4346														
	17	n-butanol exchange	s_4346														
	r_1129 (update)	coenzyme A transport	s_0529 + prot_P38702 -> s_0532 	LEU5 (Saccharomyces cerevisiae)	P38702	2.A.29.12.4	NA	40.825							LEU5		
	r_4173No1	L-cysteine:sulfur-acceptor sulfurtransferase (No1)	s_3784 + s_3785 + 0.000159642 prot_P25374  -> s_0957 + s_3786 				1.74 (Kcat*2)								NFS1		
	r_4173_REVNo1	L-cysteine:sulfur-acceptor sulfurtransferase (reversible) (No1)	s_0957 + s_3786 + 1.01305e-06 prot_P25374  -> s_3784 + s_3785 				274.1995 (Kcat*2)								NFS1		
	18	draw_prot_A0FDH8	47.186 prot_pool  -> prot_A0FDH8														
	19	draw_prot_P07264ly	85.794 prot_pool  -> prot_P07264ly														
	20	draw_prot_P04173ly	38.953 prot_pool  -> prot_P04173ly														
	21	draw_prot_P06208ly	68.409 prot_pool  -> prot_P06208ly														
	22	draw_prot_P38702	40.825 prot_pool  -> prot_P38702														
																	
Ergosterol											0.1		0.02928 g/g	Min			Review: Outline of the biosynthesis and regulation of ergosterol in yeast
																	
2-phenylethanol	1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	s_0551 + s_0803 + s_1360 + 0.00129019 prot_P32449ly  -> s_0349 + s_1322 	ARO4K229L (S. cerevisiae)	P32449ly	2.5.1.54	0.215305458	39.7487	0.325		0.1	0.113 mol/mol	0.059 mol/mol	Min		"ARO3, ARO4, ARO7, ARO8"	Connecting central carbon and aromatic amino acid metabolisms to improve de novo 2-phenylethanol production in Saccharomyces cerevisiae
	2	chorismate mutase	s_0515 + 0.00448029 prot_P32178ly  -> s_1377 	ARO7T226I (S. cerevisiae)	P32178ly	5.4.99.5	0.0619725	29.7468	0.125								A Single Point Mutation Results in a Constitutively Activated and Feedback-Resistant Chorismate Mutase of Saccharomyces cerevisiae
	r_0279No1	chorismate synthase (No1)	s_0324 + 0.000159642 prot_P28777  -> s_0515 + s_1322 				1.74 (Kcat*2)								ARO2		
	r_0026No4	2-keto-4-methylthiobutyrate transamination (No4)	pmet_r_0026 + 9.01876e-08 prot_P38840  -> s_0180 + s_1029 				3080 (Kcat*2)								ARO9		
	r_2117No1	phenylalanine transaminase (No1)	s_1032 + s_1399 + 1.15741e-07 prot_P38840  -> s_0951 + s_0955 				2400 (Kcat*2)								ARO9		
	r_2118No1	tryptophan transaminase (No1)	s_0951 + s_1048 + 3.96826e-07 prot_P38840  -> s_0855 + s_1032 				699.9998 (Kcat*2)								ARO9		
	r_2119No1	tyrosine transaminase (No1)	s_0204 + s_0955 + 9.01876e-08 prot_P38840  -> s_1051 + s_1399 				3080 (Kcat*2)								ARO9		
	r_2117_REVNo1	phenylalanine transaminase (reversible) (No1)	s_0951 + s_0955 + 9.01876e-08 prot_P38840  -> s_1032 + s_1399 				3080 (Kcat*2)								ARO9		
	r_2119_REVNo1	tyrosine transaminase (reversible) (No1)	s_1051 + s_1399 + 2.77778e-07 prot_P38840  -> s_0204 + s_0955 				999.9992 (Kcat*2)								ARO9		
	r_0938No1	prephenate dehydratase (No1)	s_0794 + s_1377 + 7.18887e-08 prot_P32452  -> s_0456 + s_0803 + s_0951 				3864 (Kcat*2)								PHA2		
	r_1049No2	transketolase 1 (No2)	pmet_r_1049 + 2.01288e-06 prot_P23254  -> s_0764 + s_1427 				138.0002 (Kcat*2)								TKL1		
	r_1050No2	transketolase 2 (No2)	2.01288e-06 prot_P23254 + pmet_r_1050  -> s_0557 + s_0764 				138.0002 (Kcat*2)								TKL1		
	r_1049_REVNo2	transketolase 1 (reversible) (No2)	2.01288e-06 prot_P23254 + pmet_r_1049_REV  -> s_0581 + s_1408 				138.0002 (Kcat*2)								TKL1		
	r_1050_REVNo2	transketolase 2 (reversible) (No2)	2.01288e-06 prot_P23254 + pmet_r_1050_REV  -> s_0551 + s_0581 				138.0002 (Kcat*2)								TKL1		
	r_0962No1	pyruvate kinase (No1)	pmet_r_0962 + 2.39464e-06 prot_P00549  -> s_0434 + s_1399 				115.9998 (Kcat/2)								PYK1 (downregulation)		
	r_0854No1	phenylpyruvate decarboxylase (No1)	s_0794 + s_0951 + 1.21832e-07 prot_Q06408  -> s_0456 + s_1318 				2280 (Kcat*2)								ARO10		
	r_0939No1	prephenate dehydrogenase (NADP) (No1)	s_1207 + s_1377 + 1.05619e-05 prot_P20049  -> s_0204 + s_0456 + s_1212 				13.15 (Kcat/2)								TYR1 (downregulation)		
	3	Shikimate kinase	s_1429 + s_0434 + 2.12263e-06 prot_P0A6E1 -> s_0261 + s_0794 + s_0394	aroL (E.coli)	P0A6E1	2.7.1.71	130.8651667	19.151	410								
	4	draw_prot_P32449ly	39.7487 prot_pool  -> prot_P32449ly														
	5	draw_prot_P32178ly	29.7468 prot_pool  -> prot_P32178ly														
	6	draw_prot_P0A6E1	19.151 prot_pool  -> prot_P0A6E1														
																	
docosanol	1	Fatty acyl-CoA reductase	s_2880 + 2 s_0794 + 2 s_1212 + prot_Q39152 -> s_4347 + s_0529 + 2 s_1207	FAR1 (Arabidopsis thaliana)	Q39152	1.2.1.84	NA	55.481			0.1		0.0005 g/g	Min		"ARE1, Dga1, ARE2, Lro1, pox1, ELO3, GAL1"	Metabolic engineering of Saccharomyces cerevisiae for production of very long chain fatty acid-derived chemicals
	2	fatty acid synthase 	s_0373 + 21 s_0794 + 7 s_1101 + 14 s_1212 + 0.000135899 prot_K0V149  -> 7 s_0456 + 7 s_0529 + 7 s_0803 + 14 s_1207 + s_1302 	FAS (Mycolicibacterium vaccae)	K0V149	2.3.1.86	2.04404375	327.047	0.375	Mycolicibacterium phlei							
	3	fatty acid synthase	s_0373 + 24 s_0794 + 8 s_1101 + 16 s_1212 + 0.000135899 prot_K0V149  -> 8 s_0456 + 8 s_0529 + 8 s_0803 + 16 s_1207 + s_1454 	FAS (Mycolicibacterium vaccae)	K0V149	2.3.1.86	2.04404375	327.047	0.375	Mycolicibacterium phlei							
	4	acyl carrier protein synthase	s_0529 + s_0803 + prot_K0V045 -> s_0390 + 2 s_0794 + s_1307	Acps (Mycolicibacterium vaccae)	K0V045	2.7.8.7	NA	14.161									
	5	fatty acid elongase	s_1101 + s_1302 + s_0794 + 0.000135899 prot_K0V149 -> s_0529 + s_1454 + s_0456	FAS (Mycolicibacterium vaccae)	K0V149	2.3.1.86	2.04404375	327.047	0.375	Mycolicibacterium phlei							
	6	fatty acid elongase	s_1101 + s_1454 + s_0794 + 0.000135899 prot_K0V149 -> s_0529 + s_2878 + s_0456	FAS (Mycolicibacterium vaccae)	K0V149	2.3.1.86	2.04404375	327.047	0.375	Mycolicibacterium phlei							
	7	fatty acid elongase	s_1101 + s_2878 + s_0794 + 0.000135899 prot_K0V149 -> s_0529 + s_2880 + s_0456	FAS (Mycolicibacterium vaccae)	K0V149	2.3.1.86	2.04404375	327.047	0.375	Mycolicibacterium phlei							
	8	docosanol transport	s_4347 -> s_4348														
	9	docosanol exchange	s_4348														
	10	draw_prot_Q39152	55.481 prot_pool  -> prot_Q39152														
	11	draw_prot_K0V149	327.047 prot_pool  -> prot_K0V149														
	12	draw_prot_K0V045	14.161 prot_pool  -> prot_K0V045														
	r_2154No1	elongase I (3-oxotetradecanoyl-CoA) (No1)	s_2781 + s_2782 + s_2783 + 5.14403e-05 prot_P39540  -> s_2784 + s_2785 + s_2786 				5.4 (Kcat*2)								ELO1		
	r_2155No1	elongase I (3-oxopalmitoyl-CoA) (No1)	s_2782 + s_2783 + s_2787 + 1.00644e-05 prot_P39540  -> s_2784 + s_2785 + s_2788 				27.6 (Kcat*2)								ELO1		
	r_2156No1	elongase II (3-oxooctadecanoyl-CoA) (No1)	s_2782 + s_2783 + s_2789 + 5.14403e-05 prot_P25358  -> s_2784 + s_2785 + s_2790 				5.4 (Kcat*2)								ELO2		
	r_2157No1	elongase II or III (3-oxoicosanoyl-CoA) (No1)	5.14403e-05 prot_P25358 + pmet_r_2157  -> s_2784 + s_2785 + s_2792 				5.4 (Kcat*2)								ELO2		
	r_2158No1	elongase II or III (3-oxodocosanoyl-CoA) (No1)	5.14403e-05 prot_P25358 + pmet_r_2158  -> s_2784 + s_2785 + s_2794 				5.4 (Kcat*2)								ELO2		
	r_2159No1	elongase II or III (3-oxotetracosanoyl-CoA) (No1)	5.14403e-05 prot_P25358 + pmet_r_2159  -> s_2784 + s_2785 + s_2796 				5.4 (Kcat*2)								ELO2		
	r_0109No1	"acetyl-CoA carboxylase, reaction (No1)"	s_0373 + s_0434 + s_0445 + 6.17284e-10 prot_P48445 + 4.2511e-06 prot_Q00955  -> s_0394 + s_0794 + s_1101 + s_1322 				65.3426 (Kcat*2)								ACC1		
																	
Itaconic acid	1	cis-aconitic acid decarboxylase	s_0516 + s_0794 + 0.00114406 prot_B3IUN8 -> s_0456 + s_4349	CAD (Aspergillus terreus)	B3IUN8	4.1.1.6	0.242756323	52.754	0.2761		0.1		0.19 g/g	YEP		"ade3, bna2, tes1"	"Metabolic engineering of Saccharomyces cerevisiae for itaconic
acid production"
	2	itaconic acid transport	s_4349 -> s_4350														
	3	itaconic acid exchange	s_4350														
	4	draw_prot_B3IUN8	52.754 prot_pool  -> prot_B3IUN8														
																	
GlutathioneÊ	1	gamma-glutamylcysteine synthetase	s_0434 + s_0981 + s_0991 + 2.37895e-07 prot_D4N892  -> s_0394 + s_0794 + s_0988 + s_1322 	GshF (Actinobacillus pleuropneumoniae)	D4N892	6.3.2.2	1167.652667	85.438	820		0.1		0.24 g/g	YEP			Three-pathway combination for glutathione biosynthesis inÊSaccharomyces cerevisiae
	2	glutathione synthetase (No1)	s_0434 + s_0988 + s_1003 + 2.51708e-07 prot_D4N892  -> s_0394 + s_0750 + s_0794 + s_1322 	GshF (Actinobacillus pleuropneumoniae)	D4N892	6.3.2.3	1103.574167	85.438	775								
	r_0460No1	gamma-glutamylcysteine synthetase (No1)	s_0434 + s_0981 + s_0991 + 1.36299e-08 prot_P32477  -> s_0394 + s_0794 + s_0988 + s_1322 				20380 (Kcat*2)								gsh1		
	r_0485No1	glutathione synthetase (No1)	s_0434 + s_0988 + s_1003 + 1.06838e-05 prot_Q08220  -> s_0394 + s_0750 + s_0794 + s_1322 				26 (Kcat*2)								gsh2		
	r_0468No1	glutamate 5-kinase (No1)	s_0434 + s_0991 + 1.20616e-05 prot_P32264  -> s_0394 + s_0986 				23.03 (Kcat*2)								pro1		
	3	glutathione synthetase (No1)	s_0434 + s_0988 + s_1003 + 1.83959e-06 prot_P04425  -> s_0394 + s_0750 + s_0794 + s_1322 	gshB (E.coli)	P04425	6.3.2.3	151	35.561									
	4	draw_prot_D4N892	85.438 prot_pool  -> prot_D4N892														
	5	draw_prot_P04425	35.561 prot_pool  -> prot_P04425														
	6	glutathione transport	s_0750  -> s_0751 														
																	
Ethylene	1	ethylene forming enzyme	s_0180 + 2 s_0794 + s_1275 + 0.000555556 prot_Q9Z3T0 -> s_0803 + 3 s_0456 + s_4351	efe (Pseudomonas syringae)	Q9Z3T0	1.13.12.19	0.5	38.064			0.24	0.89 mg/g	22.37 mg/g	Min			Ethylene production by metabolic engineering of the yeast Saccharomyces cerevisiae
	2	ethylene transport	s_4351 -> s_4352														
	3	ethylene exchange	s_4352														
	4	draw_prot_Q9Z3T0	38.064 prot_pool  -> prot_Q9Z3T0														
																	
Human Serum Albumin (HSA)	1	production of HAS	"0.8928 s_0955 + 0.4032 s_0965 + 0.2448 s_0969 + 0.5184 s_0973 + 0.504 s_0981 + 0.288 s_0991 + 0.8928 s_0999 +
0.1872 s_1003 + 0.2304 s_1006 + 0.1296 s_1016 + 0.9216 s_1021 + 0.864 s_1025 + 0.1008 s_1029 + 0.504 s_1032 +
0.3456 s_1035 + 0.4032 s_1039 + 0.4176 s_1045 + 0.0288 s_1048 + 0.2736 s_1051 + 0.6192 s_1056 + 1.22 s_0785 -> s_4353
+ 1.22 s_0739 + 1.22 s_1322"	ALB (Homo sapiens)	P02768			69.443			0.22 (qO2=4.6 mmol/gDCW/h)	0.125 g/gDCW/h	18.896 g/gDCW/h	Min			"Genome-scale metabolic model of methylotrophic yeast
Pichia pastoris and its use for in silico analysis of heterologous
protein production"
	2	HSA transport	s_4353 -> s_4354														
	3	HSA exchange	s_4354														
																	
_-Amylase	1	production of _-Amylase	"0.7663 s_0955 + 0.1825 s_0965 + 0.4744 s_0969 + 0.7663 s_0973 + 0.1642 s_0981 + 0.2189 s_0991 + 0.3649 s_0999 +
0.7846 s_1003 + 0.1277 s_1006 + 0.5109 s_1016 + 0.6751 s_1021 + 0.3649 s_1025 + 0.2007 s_1029 + 0.2737 s_1032 +
0.4014 s_1035 + 0.6751 s_1039 + 0.7298 s_1045 + 0.2189 s_1048 + 0.6386 s_1051 + 0.5656 s_1056 + s_0785 -> s_4287
+ s_0739 + s_1322"	amy1 (Aspergillus oryzae)	P0C1B3						0.2		0.0229 mol/mol	Min			Engineering the protein secretory pathway of Saccharomyces cerevisiae enables improved protein production
	2	_-Amylase transport	s_4287 -> s_4355														
	3	_-Amylase exchange	s_4355														
																	
Hemoglobin	1	heme o transport	s_0812 -> s_4356								0.25			Min			Balanced globin protein expression and heme biosynthesis improve production of human hemoglobin in Saccharomyces cerevisiae
	2	production of globin	"1.1532 s_0955 + 0.1922 s_0965 + 0.3203 s_0969 + 0.4805 s_0973 + 0.0961 s_0981 + 0.3844 s_0991 + 0.1281 s_0999 +
0.6407 s_1003 + 0.6087 s_1006 + 1.1532 s_1021 + 0.7048 s_1025 + 0.1602 s_1029 + 0.4805 s_1032 +
0.4485 s_1035 + 0.5125 s_1039 + 0.5125 s_1045 + 0.0961 s_1048 + 0.1922 s_1051 + 0.9931 s_1056 + 1.16 s_0785 -> s_4357
+ 1.16 s_0739 + 1.16 s_1322"		P69905 + P68871			62.512									
	3	production of hemoglobin	s_4357 + 4 s_4356 -> s_4358														
	4	hemoglobin transport	s_4358 -> s_4359														
	5	hemoglobin exchange	s_4359														
	r_0557No1	hydroxymethylbilane synthase (No1)	s_0803 + 4 s_1372 + 0.00222222 prot_P28789  -> 4 s_0419 + s_1378 				0.125 (Kcat*2)						0.00039 mol/mol		HEM3		
																	
Glucagon	1	production of glucagon	"0.6223 s_0955 + 0.7659 s_0965 + 0.3829 s_0969 + 0.7659 s_0973 + 0.6223 s_0991 + 0.4787 s_0999 +
0.4308 s_1003 + 0.1915 s_1006 + 0.3829 s_1016 + 0.5744 s_1021 + 0.4787 s_1025 + 0.2393 s_1029 + 0.5265 s_1032 +
0.1436 s_1035 + 0.8137 s_1039 + 0.4308 s_1045 + 0.1915 s_1048 + 0.1915 s_1051 + 0.3829 s_1056 + 0.36 s_0785 -> s_4360
+ 0.36 s_0739 + 0.36 s_1322"	GCG (Homo sapiens)	P01275						0.1		0.0612 mol/mol	YEP		YPS1	Yield improvement of heterologous peptides expressed inÊyps1-disruptedÊSaccharomyces cerevisiaeÊstrains
	2	glucagon transport	s_4360 -> s_4361														
	3	glucagon exchange	s_4361														
																	
Glycolate	1	glycolate transport	s_3997 -> s_4362								0.1		1.5313 mol/mol	Min			
	2	glycolate exchange	s_4362 ->														
																	
Glycine											0.1		0.5812 mol/mol	Min			
Alanine											0.1		1.8634 mol/mol	Min			
Arginine											0.1		0.1749 mol/mol	Min			
Asparagine											0.1		0.3164 mol/mol	Min			
Aspartate											0.1		1.0281 mol/mol	Min			
Cysteine											0.1		0.3046 mol/mol	Min			
Glutamate											0.1		0.9466 mol/mol	Min			
Glutamine											0.1		0.6988 mol/mol	Min			
Histidine											0.1		0.1119 mol/mol	Min			
Isoleucine											0.1		0.2666 mol/mol	Min			
Leucine											0.1		0.5575 mol/mol	Min			
Lysine											0.1		0.1852 mol/mol	Min			
Methionine											0.1		0.1842 mol/mol	Min			
Phenylalanine											0.1		0.2306 mol/mol	Min			
Proline											0.1		0.5629 mol/mol	Min			
Serine											0.1		0.8909 mol/mol	Min			
Threonine											0.1		0.4926 mol/mol	Min			
Tryptophan											0.1		0.0747 mol/mol	Min			
Valine											0.1		0.8740 mol/mol	Min			
Xanthine											0.1		0.0653 mol/mol	Min			
Urea											0.1		0.1822 mol/mol	Min			
Thymidine											0.1		0.1016 mol/mol	Min			
Putrescine											0.1		0.3448 mol/mol	Min			
Hypoxanthine											0.1		0.0940 mol/mol	Min			
Hexanoate											0.1		0.0118 mol/mol	Min			
Homoserine											0.1		0.6837 mol/mol	Min			
Guanine											0.1		0.0653 mol/mol	Min			
Glycerol											0.1		0.9091 mol/mol	Min			
Citrate											0.1		0.5617 mol/mol	Min			
Oxoglutarate											0.1		0.7301 mol/mol	Min			
